gid,awa_aws_0_12,awa_aws_12_24,awa_aws_24_36,awa_aws_36_48,aws0_12_g80,aws12_24_g80,aws24_36_g80,aws36_48_g80,aws0_12_l20,aws12_24_l20,aws24_36_l20,aws36_48_l20,range_alg_0_12in,range_alg_12_24in,range_alg_24_36in,range_alg_36_48in
1392,2.822902248,2.447593862,1.937470269,1.837346873,2.822902248,2.447593862,1.937470269,1.837346873,2.822900728,2.447592545,1.937469226,1.837345884,0,0,0,0
1393,2.590654095,2.371610195,1.875014988,1.83769321,2.590654095,2.371610195,1.875014988,1.83769321,2.606703328,2.389683331,1.889683331,1.853594052,0.016,0.0181,0.0147,0.0159
1394,2.606608145,1.480248004,1.266829103,1.310168343,2.606608145,1.480248004,1.266829103,1.310168343,2.606607681,1.480247741,1.266828878,1.31016811,0,0,0,0
1395,2.54,1.76,1.45,1.5,2.54,1.76,1.45,1.5,2.54,1.76,1.45,1.5,0,0,0,0
1396,3.368618397,1.834828916,1.199999986,1.239999985,3.368618397,1.834828916,1.199999986,1.239999985,3.368618437,1.834828938,1.2,1.24,0,0,0,0
1397,2.583147417,2.38052359,1.861576817,1.83158002,2.583147417,2.38052359,1.861576817,1.83158002,2.58314731,2.380523492,1.86157674,1.831579944,0,0,0,0
1398,2.74,0.92,0.9,0.93,2.74,0.92,0.9,0.93,2.74,0.92,0.9,0.93,0,0,0,0
1399,2.491284654,1.61205299,0.991313578,0.849932877,2.491284654,1.61205299,0.991313578,0.849932877,2.612480813,1.651034787,0.987968607,0.835463386,0.1212,0.039,0.0033,0.0145
1400,2.880556061,2.460896677,1.933033048,1.815169325,2.880556061,2.460896677,1.933033048,1.815169325,2.880557487,2.460897896,1.933034005,1.815170224,0,0,0,0
1401,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0
1402,2.91358934,2.468521698,1.930494362,1.802467462,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0.0064,0.0015,0.0005,0.0025
1403,2.355945483,2.320172039,1.815425641,1.852878917,2.28,2.3,1.8,1.86,2.28,2.3,1.8,1.86,0.0759,0.0202,0.0154,0.0071
1404,2.54,1.76,1.45,1.5,2.54,1.76,1.45,1.5,2.54,1.76,1.45,1.5,0,0,0,0
1405,2.616888976,1.820759017,1.471139257,1.501562439,2.54,1.76,1.45,1.5,2.54,1.76,1.45,1.5,0.0769,0.0608,0.0211,0.0016
1406,3.46,1.78,1.2,1.24,3.46,1.78,1.2,1.24,3.46,1.78,1.2,1.24,0,0,0,0
1407,2.797162057,2.441656275,1.93945324,1.847250898,2.79,2.4400001,1.9400001,1.85,2.79,2.4400001,1.9400001,1.85,0.0072,0.0017,0.0005,0.0027
1408,2.855220269,2.455050619,1.93498276,1.824914893,2.855220269,2.455050619,1.93498276,1.824914893,2.855220667,2.455050961,1.934983029,1.824915147,0,0,0,0
1409,1.52678068,1.278981936,0.98844373,0.932002543,1.52678068,1.278981936,0.98844373,0.932002543,1.315518375,1.150489236,0.914733254,0.872297131,0.2113,0.1285,0.0737,0.0597
1410,1.009054584,0.588099297,0.371431135,0.383812173,1.009054584,0.588099297,0.371431135,0.383812173,1.009633658,0.588436795,0.371644291,0.384032434,0.0006,0.0003,0.0002,0.0002
1411,2.897496559,2.477496158,1.93249706,1.80499724,2.897496559,2.477496158,1.93249706,1.80499724,2.897500772,2.477499759,1.93249987,1.804999865,0,0,0,0
1412,3.682780989,2.484956422,1.600957152,1.396174733,3.682780989,2.484956422,1.600957152,1.396174733,3.682781089,2.48495649,1.600957195,1.396174771,0,0,0,0
1413,3.46,1.78,1.2,1.24,3.46,1.78,1.2,1.24,3.46,1.78,1.2,1.24,0,0,0,0
1414,2.79,2.4400001,1.9400001,1.85,2.79,2.4400001,1.9400001,1.85,2.79,2.4400001,1.9400001,1.85,0,0,0,0
1415,2.910587812,2.46782802,1.93072403,1.803620235,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0.0094,0.0022,0.0007,0.0036
1416,5.197980397,3.775497993,3.2148621,2.941333952,5.197980397,3.775497993,3.2148621,2.941333952,5.303808577,3.836151494,3.274554376,2.994358601,0.1058,0.0607,0.0597,0.053
1417,2.354114285,0.790432534,0.773249218,0.799024192,2.74,0.92,0.9,0.93,2.74,0.92,0.9,0.93,0.3859,0.1296,0.1268,0.131
1418,2.967213364,2.478865152,1.893269329,1.762572484,2.967213364,2.478865152,1.893269329,1.762572484,2.878111417,2.483962863,1.934654281,1.809308622,0.0891,0.0051,0.0414,0.0467
1419,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0
1420,2.570001224,1.474947698,1.26232959,1.304719403,2.570001224,1.474947698,1.26232959,1.304719403,2.576915143,1.40925457,1.219079067,1.259715036,0.0069,0.0657,0.0433,0.045
1421,2.681051889,0.900207204,0.880637482,0.909992065,2.74,0.92,0.9,0.93,2.74,0.92,0.9,0.93,0.0589,0.0198,0.0194,0.02
1422,2.915687764,2.469006242,1.930333295,1.801660856,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0.0043,0.001,0.0003,0.0017
1423,3.085382927,1.821797079,1.279970548,1.323169371,3.085382927,1.821797079,1.279970548,1.323169371,3.085383185,1.821797231,1.279970655,1.323169481,0,0,0,0
1424,2.543968281,2.372462098,1.872462049,1.85482434,2.543968281,2.372462098,1.872462049,1.85482434,2.543968029,2.372461864,1.872461864,1.854824156,0,0,0,0
1425,8.91178985,5.056456847,3.713994238,1.923701811,8.91178985,5.056456847,3.713994238,1.923701811,8.952875041,5.077686093,3.730628327,1.92791456,0.0411,0.0212,0.0166,0.0042
1426,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0
1427,2.607237881,1.477601637,1.265096328,1.308372558,2.607237881,1.477601637,1.265096328,1.308372558,2.607237726,1.477601549,1.265096253,1.30837248,0,0,0,0
1428,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0
1429,2.859355165,2.490214961,1.936738364,1.81347671,2.859355165,2.490214961,1.936738364,1.81347671,2.859355142,2.490214941,1.936738349,1.813476695,0,0,0,0
1430,2.448332155,2.344870592,1.835453625,1.845528936,2.448332155,2.344870592,1.835453625,1.845528936,2.436074225,2.341457209,1.831702548,1.845368044,0.0123,0.0034,0.0038,0.0002
1431,2.03912523,1.412937168,1.164067553,1.204207813,2.54,1.76,1.45,1.5,2.54,1.76,1.45,1.5,0.5009,0.3471,0.2859,0.2958
1432,2.844672835,2.492845206,1.938232538,1.817391139,2.844672835,2.492845206,1.938232538,1.817391139,2.8299999,2.5,1.9400001,1.8200001,0.0147,0.0072,0.0018,0.0026
1433,2.54,1.76,1.45,1.5,2.54,1.76,1.45,1.5,2.54,1.76,1.45,1.5,0,0,0,0
1434,3.654774621,2.201913692,1.35655887,1.25079726,3.654774621,2.201913692,1.35655887,1.25079726,3.68604934,2.269660403,1.381697486,1.252530861,0.0313,0.0677,0.0251,0.0017
1435,2.801343594,2.44262139,1.939131755,1.845642857,2.79,2.4400001,1.9400001,1.85,2.79,2.4400001,1.9400001,1.85,0.0113,0.0026,0.0009,0.0044
1436,2.959295046,1.206911135,1.007820079,0.990306123,2.74,0.92,0.9,0.93,2.74,0.92,0.9,0.93,0.2193,0.2869,0.1078,0.0603
1437,2.826422629,2.447931272,1.936403677,1.835664222,2.826422629,2.447931272,1.936403677,1.835664222,2.823981164,2.447841875,1.937386114,1.836930332,0.0024,0.0001,0.001,0.0013
1438,2.839088647,2.451326143,1.936221507,1.831116414,2.839088647,2.451326143,1.936221507,1.831116414,2.839091903,2.451328954,1.936223727,1.831118513,0,0,0,0
1439,2.865918213,2.457519475,1.934159957,1.820800481,2.865918213,2.457519475,1.934159957,1.820800481,2.865918438,2.457519668,1.934160108,1.820800623,0,0,0,0
1440,3.261440021,1.901249492,1.200614139,1.240042277,3.26,1.9,1.2,1.24,3.26,1.9,1.2,1.24,0.0014,0.0012,0.0006,0
1441,3.228949434,2.148531192,1.486765924,1.386569058,3.228949434,2.148531192,1.486765924,1.386569058,3.285799872,2.148881334,1.471308566,1.372148603,0.0569,0.0004,0.0155,0.0144
1442,11.04972285,7.11237298,6.644965782,2.034888216,11.04972285,7.11237298,6.644965782,2.034888216,11.04973624,7.112381596,6.644973832,2.034890681,0,0,0,0
1443,2.559007598,2.376590507,1.876590467,1.854529412,2.559007598,2.376590507,1.876590467,1.854529412,2.559007398,2.376590321,1.876590321,1.854529267,0,0,0,0
1444,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0
1445,2.79,2.4400001,1.9400001,1.85,2.79,2.4400001,1.9400001,1.85,2.79,2.4400001,1.9400001,1.85,0,0,0,0
1446,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0
1447,2.559263369,2.376660604,1.876660599,1.854524267,2.559263369,2.376660604,1.876660599,1.854524267,2.559263342,2.37666058,1.87666058,1.854524248,0,0,0,0
1448,10.72984432,7.107106345,5.658144273,2.048531703,10.72984432,7.107106345,5.658144273,2.048531703,11.79131753,7.970582571,6.327612307,2.180403063,1.0615,0.8635,0.6695,0.1319
1449,2.479856283,1.884913595,1.530962503,1.583275717,2.479856283,1.884913595,1.530962503,1.583275717,2.479856381,1.88491367,1.530962564,1.58327578,0,0,0,0
1450,2.595874622,1.525324786,1.296343567,1.34075606,2.595874622,1.525324786,1.296343567,1.34075606,2.595874998,1.525325007,1.296343755,1.340756255,0,0,0,0
1451,2.502188232,2.082522655,1.662275691,1.677851991,2.502188232,2.082522655,1.662275691,1.677851991,2.451332806,2.345510269,1.834801944,1.843937552,0.0509,0.263,0.1725,0.1661
1452,2.745693647,1.799996249,1.378579078,1.425722239,2.745693647,1.799996249,1.378579078,1.425722239,2.745693079,1.799995876,1.378578792,1.425721944,0,0,0,0
1453,3.736803229,2.189438188,1.367235293,1.251533412,3.736803229,2.189438188,1.367235293,1.251533412,3.736803413,2.189438296,1.36723536,1.251533473,0,0,0,0
1454,2.337062491,1.619381884,1.334149847,1.380155014,2.54,1.76,1.45,1.5,2.54,1.76,1.45,1.5,0.2029,0.1406,0.1159,0.1198
1455,2.328662875,0.787182062,0.768483206,0.794109042,2.74,0.92,0.9,0.93,2.74,0.92,0.9,0.93,0.4113,0.1328,0.1315,0.1359
1456,2.071646669,1.55093815,1.099466752,1.004556628,2.071646669,1.55093815,1.099466752,1.004556628,2.191261448,1.640487747,1.162948848,1.062558709,0.1196,0.0895,0.0635,0.058
1457,2.443722073,1.386075296,1.186530231,1.227120305,2.443722073,1.386075296,1.186530231,1.227120305,2.606981902,1.478676013,1.26579977,1.30910158,0.1633,0.0926,0.0793,0.082
1458,2.686076288,1.146481472,1.048291485,1.083683902,2.686076288,1.146481472,1.048291485,1.083683902,2.686075881,1.146481298,1.048291326,1.083683738,0,0,0,0
1459,2.813800725,2.445492714,1.938169434,1.840846145,2.79,2.4400001,1.9400001,1.85,2.79,2.4400001,1.9400001,1.85,0.0238,0.0055,0.0018,0.0092
1460,2.739411755,0.919802487,0.899806781,0.92980034,2.74,0.92,0.9,0.93,2.74,0.92,0.9,0.93,0.0006,0.0002,0.0002,0.0002
1461,2.732501548,0.951492191,0.920619856,0.951369669,2.74,0.92,0.9,0.93,2.74,0.92,0.9,0.93,0.0075,0.0315,0.0206,0.0214
1462,3.26,1.9,1.2,1.24,3.26,1.9,1.2,1.24,3.26,1.9,1.2,1.24,0,0,0,0
1463,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0
1464,2.545962708,1.734956056,1.433602166,1.483005881,2.54,1.76,1.45,1.5,2.54,1.76,1.45,1.5,0.006,0.025,0.0164,0.017
1465,2.011048866,1.396828341,0.926943089,0.817700569,2.011048866,1.396828341,0.926943089,0.817700569,2.056344984,1.428289983,0.947821211,0.836118153,0.0453,0.0315,0.0209,0.0184
1466,10.16583355,5.63368526,4.869075164,2.254933625,10.16583355,5.63368526,4.869075164,2.254933625,11.13759241,6.19498457,5.354812532,2.462696465,0.9718,0.5613,0.4857,0.2078
1467,2.90496743,2.475009406,1.931669262,1.803339555,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0.015,0.005,0.0017,0.0033
1468,2.864301372,2.457146799,1.934284859,1.821423058,2.864301372,2.457146799,1.934284859,1.821423058,2.864300895,2.45714639,1.934284537,1.821422755,0,0,0,0
