parc_gid,awa_aws_0_12,awa_aws_12_24,awa_aws_24_36,awa_aws_36_48,aws0_12_g80,aws12_24_g80,aws24_36_g80,aws36_48_g80,aws0_12_l20,aws12_24_l20,aws24_36_l20,aws36_48_l20,rngalg0_12,rngal12_24,rngal24_36,rngal36_48,logrg0_12,logrg12_24,logrg24_36,logrg36_48
475,2.642524118,2.298393655,1.822302204,1.731655377,2.642524118,2.298393655,1.822302204,1.731655377,2.79,2.4400001,1.9400001,1.85,0.147476,0.141606,0.117698,0.118345,0.137565,0.132436,0.111271,0.11185
476,3.044288004,1.924356302,1.920468522,1.981626829,3.044288004,1.924356302,1.920468522,1.981626829,2.90376452,1.82062742,1.942597712,2.007754718,0.140523,0.103729,0.0221292,0.0261279,0.131487,0.0986944,0.0218879,0.0257924
477,2.912575178,2.468266445,1.930546925,1.802822996,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0.0074249,0.0017336,0.000547,0.002823,0.0073975,0.0017321,0.0005469,0.002819
478,3.193417755,2.539470961,2.370431585,2.25955238,3.193417755,2.539470961,2.370431585,2.25955238,2.889558785,2.480147083,1.933382329,1.806764756,0.303859,0.0593239,0.437049,0.452788,0.265328,0.0576309,0.362592,0.373484
479,2.79,2.4400001,1.9400001,1.85,2.79,2.4400001,1.9400001,1.85,2.79,2.4400001,1.9400001,1.85,0,0,0,0,0,0,0,0
480,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0,0,0,0,0
481,2.83987399,2.481579505,1.937990803,1.822169231,2.83987399,2.481579505,1.937990803,1.822169231,2.839867359,2.481573711,1.937986277,1.822164976,0.0000066,0.0000058,0.0000045,0.0000043,0.0000066,0.0000058,0.0000045,0.0000043
482,3.092938706,2.180072256,1.558689177,1.515158808,3.092938706,2.180072256,1.558689177,1.515158808,3.092939198,2.180072603,1.558689425,1.515159049,0.0000005,0.0000003,0.0000002,0.0000002,0.0000005,0.0000003,0.0000002,0.0000002
483,2.888733723,2.492959046,1.941934367,1.819711644,2.888733723,2.492959046,1.941934367,1.819711644,2.871474351,2.486175214,1.935391746,1.81078353,0.0172594,0.0067838,0.0065426,0.0089281,0.0171121,0.0067609,0.0065213,0.0088885
484,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0,0,0,0,0
485,2.955794463,2.513517781,1.961692192,1.844783819,2.955794463,2.513517781,1.961692192,1.844783819,2.880713046,2.483095656,1.934365206,1.808730481,0.0750814,0.0304221,0.027327,0.0360533,0.0723964,0.0299685,0.0269603,0.0354186
486,2.871957774,2.429361458,1.898245899,1.770384868,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0.0480423,0.0406385,0.031754,0.0296151,0.0469239,0.0398345,0.0312603,0.029185
487,2.599476147,1.633424953,2.548119615,2.486490066,2.599476147,1.633424953,2.548119615,2.486490066,2.080532527,1.23514464,2.031126742,2.025637265,0.518944,0.39828,0.516993,0.460853,0.418015,0.335243,0.41673,0.379021
488,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0,0,0,0,0
489,2.697825487,1.985964797,1.464197703,1.418005991,2.697825487,1.985964797,1.464197703,1.418005991,2.98224242,2.219125789,1.637320504,1.60049388,0.284417,0.233161,0.173123,0.182488,0.250305,0.209581,0.159669,0.167621
490,2.855862981,2.42133175,1.891264385,1.764435265,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0.0641371,0.0486683,0.0387355,0.0355647,0.0621642,0.0475211,0.0380041,0.0349469
491,3.073858202,2.595889867,1.945595755,1.841576951,3.073858202,2.595889867,1.945595755,1.841576951,2.860308048,2.470216024,1.935439642,1.818930746,0.21355,0.125674,0.0101561,0.0226462,0.19355,0.118382,0.0101049,0.0223936
492,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0,0,0,0,0
493,3.591487538,2.2179813,3.166366556,3.167039283,3.591487538,2.2179813,3.166366556,3.167039283,3.591488728,2.217982035,3.166367605,3.167040332,0.0000012,0.0000007,0.000001,0.000001,0.0000012,0.0000007,0.000001,0.000001
494,2.90803829,2.508621771,1.939129538,1.819019788,2.90803829,2.508621771,1.939129538,1.819019788,2.86984234,2.486719216,1.935573084,1.8111462,0.0381959,0.0219026,0.0035565,0.0078736,0.0374845,0.0216662,0.0035501,0.0078428
495,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0,0,0,0,0
496,2.8299999,2.5,1.9400001,1.8200001,2.8299999,2.5,1.9400001,1.8200001,2.8299999,2.5,1.9400001,1.8200001,0,0,0,0,0,0,0,0
497,2.919711314,2.469755719,1.929809025,1.799821981,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0.0002888,0.0002443,0.0001909,0.000178,0.0002887,0.0002443,0.0001909,0.000178
498,2.464489891,1.518299398,2.498180311,2.456942881,2.464489891,1.518299398,2.498180311,2.456942881,2.464371295,1.518206319,2.498096934,2.456873092,0.0001186,0.0000931,0.0000834,0.0000698,0.0001186,0.0000931,0.0000834,0.0000698
